Comedian,Punchline,Updated By
vadivel,Aahaan?,Aravind
vadivel,Naanga adi vangatha area-ve kedayathu,Aravind
vadivel,Sothulayum adi vaangiyachu sethulayum adi vaangiyachu,Aravind
vadivel,vaaya moodra korangu,Aravind
vadivel,Why blood? same blood.,Aravind
vadivel,Pesikittu iruken mama!,Aravind
vadivel,Building strong-uh basement weak-uh,Aravind
vadivel,"Feeling ah? enna, ena feeling-uh?",Aravind
vadivel,Maapla? maapu? vechutan da aapu!,Aravind
vadivel,Singgg in the rain.. I am sing in the rain,Aravind
vadivel,Risk edukarthulaam enaku rusk sapdra mathri!,Aravind
vadivel,Hello!Dubai ah? Ennudaiyya brother mark irukara?,Aravind
vadivel,Vena valikuthu.. ALuthuruven!,Aravind
vadivel,Enna Vechee Comedy Geemedy Pannalaye,Sanjana
vadivel,Venam valikudhu aludhiduven,Sanjana
vadivel,Vada Poche,Sanjana
vadivel,Naa appidya shock ayiten,Aravind
vadivel,Avana nee...,Rajarajeswari 
vadivel,Vaa Suruthii polam...,Rajarajeswari 
vadivel,Manda bathiram...,Rajarajeswari 
vadivel,Naa apidiye shock aaiyten....,Rajarajeswari 
vadivel,Anniyae pudunga vaenam..,Rajarajeswari 
vadivel,Babu... Snake babu....,Rajarajeswari 
vadivel,"Athu pona maasam , naan sonnathu intha maasam.",Rajarajeswari 
vadivel,Indha rangalathalayum unakku oru kilukiluppu kekkudhuu...,Rajarajeswari 
vadivel,"Naan jailuku poren, jailuku poren.. naanum rowdy thaan...",Rajarajeswari 
vadivel,Ennama anga Satham ! Pesikittu iruken mama ...,Rajarajeswari 
vadivel,Oh ithu Thaan azhagula mayangaratha …?,Rajarajeswari 
vadivel,Be Careful…….. enna sonnen...,Rajarajeswari 
vadivel,Vita kirukan aaikurvanga pola iruku! :,Rajarajeswari 
vadivel,Dei solamutha pocha,Rajarajeswari 
vadivel,"aahaa! onnu kooditangayya, onnu kooditangayya",Aravind
santhanam,Venam Bro! Aduthavan autoku ayudha pooja pananum nenaikuradhu thappu bro,Aravind
santhanam,Aduthavan patta potta edathula ivan kotta podanum pakuranae..,Aravind
santhanam,Vera vela irrutha paaruya,Aravind
santhanam,Vittukkodutha kattuppada mattanda indha vettupuli,Aravind
santhanam,Urukkulla patthu padhinanji friends vechirukkavan ellam santhoshama irrukan,Aravind
santhanam,Avlo periya comedy illa idhu,Aravind
santhanam,Dei ennaku murder pandradhellam powder adikkara madhiri,Aravind
santhanam,Na nalla panreno illayo nee nalla panrada,Aravind
santhanam,Nanbenda,Aravind
santhanam,Nee enna avlo periya appatakara ah nee,Aravind
santhanam,Factuu...factuu..factuu,Aravind
santhanam,yenna kelachitaarama,Aravind
santhanam,asinga pattan autokaaren,Aravind
